,F,T,Date,Year,Month,Day,IntervalDays
58,VinOth_vingO,falbert,"Sep 17, 2014",2014,9,17,2816
59,VinOth_vingO,thinknight,"Aug 13, 2015",2015,8,13,3146
60,slugbug,pdonket,"Jun 30, 2007",2007,6,30,180
61,slugbug,carlobaluta,"Jun 30, 2007",2007,6,30,180
62,LANMANTA,felix.esche,"Oct 25, 2017",2017,10,25,3950
63,LANMANTA,CPescher,"Oct 25, 2017",2017,10,25,3950
64,LANMANTA,mwmtjm,"Sep 8, 2011",2011,9,8,1711
65,LANMANTA,Roodypoo999,"Sep 8, 2011",2011,9,8,1711
66,jensvb,chunt,"Mar 15, 2008",2008,3,15,439
67,jensvb,chunt,"Mar 15, 2008",2008,3,15,439
68,jensvb,bobetsue,"Apr 1, 2008",2008,4,1,456
69,jensvb,klaymen,"Apr 1, 2008",2008,4,1,456
70,jensvb,jervis961,"Dec 20, 2007",2007,12,20,353
71,jensvb,badblood,"Nov 16, 2007",2007,11,16,319
72,jensvb,realskript,"Nov 16, 2007",2007,11,16,319
73,jensvb,jdelidc,"May 8, 2008",2008,5,8,493
74,jensvb,vineets001,"Apr 1, 2008",2008,4,1,456
75,jensvb,phubert,"Nov 16, 2007",2007,11,16,319
76,jensvb,pavlo,"Dec 20, 2007",2007,12,20,353
77,jensvb,tekhawk,"Dec 20, 2007",2007,12,20,353
78,jensvb,masterr,"Apr 16, 2008",2008,4,16,471
79,jensvb,ekozel,"Apr 16, 2008",2008,4,16,471
80,jensvb,phubert,"Apr 16, 2008",2008,4,16,471
81,jensvb,maguu,"Apr 16, 2008",2008,4,16,471
82,jensvb,phubert,"May 8, 2008",2008,5,8,493
83,jensvb,jmxz,"May 8, 2008",2008,5,8,493
84,jensvb,falbert,"Jun 24, 2008",2008,6,24,540
85,jensvb,dki,"Jun 24, 2008",2008,6,24,540
86,Atticus,Anaxandra,"Aug 20, 2011",2011,8,20,1692
87,ryao,fra9000,"Aug 24, 2015",2015,8,24,3157
88,ryao,braininajar,"Jun 26, 2014",2014,6,26,2733
89,ryao,phubert28,"Aug 24, 2015",2015,8,24,3157
90,ryao,shamarkaleo,"Aug 24, 2015",2015,8,24,3157
91,ryao,Bekenn,"Oct 25, 2015",2015,10,25,3219
92,ryao,bradenbear,"Aug 24, 2015",2015,8,24,3157
93,ryao,robbypayne,"Aug 31, 2015",2015,8,31,3164
94,ryao,RadioActive_Rabbit,"Aug 31, 2015",2015,8,31,3164
95,DumbDumb,Sapphire Wolf,"Nov 21, 2013",2013,11,21,2516
96,Sapphire Wolf,Hyncharas,"Dec 16, 2013",2013,12,16,2541
97,RockSt&#9734;r-Rick K,jervis961,"Dec 18, 2012",2012,12,18,2178
98,RockSt&#9734;r-Rick K,sugarbear,"Jan 17, 2011",2011,1,17,1477
99,RockSt&#9734;r-Rick K,SallyC54,"Oct 15, 2011",2011,10,15,1748
100,RockSt&#9734;r-Rick K,natakuc4,"Jul 23, 2011",2011,7,23,1664
101,RockSt&#9734;r-Rick K,natakuc4,"Apr 2, 2012",2012,4,2,1918
102,RockSt&#9734;r-Rick K,sugarbear,"Nov 28, 2011",2011,11,28,1792
103,RockSt&#9734;r-Rick K,natakuc4,"Feb 9, 2012",2012,2,9,1865
104,RockSt&#9734;r-Rick K,sravankumar,"Mar 14, 2012",2012,3,14,1899
105,RockSt&#9734;r-Rick K,unununium,"Jul 8, 2012",2012,7,8,2015
106,RockSt&#9734;r-Rick K,#DellWorld,"Dec 16, 2012",2012,12,16,2176
107,RockSt&#9734;r-Rick K,natakuc4,"Feb 1, 2013",2013,2,1,2223
108,RockSt&#9734;r-Rick K,fredmoore,"May 6, 2015",2015,5,6,3047
109,veejdeej,Sapphire Wolf,"Oct 5, 2014",2014,10,5,2834
110,rockettech,logi,"May 5, 2007",2007,5,5,124
111,rockettech,solidsource,"May 13, 2007",2007,5,13,132
112,rockettech,thorin_2,"May 5, 2007",2007,5,5,124
113,rockettech,bajtalan.hunor,"May 13, 2007",2007,5,13,132
114,rockettech,ergo,"May 13, 2007",2007,5,13,132
115,rockettech,juanpablo,"May 8, 2007",2007,5,8,127
116,rockettech,san2shh,"May 13, 2007",2007,5,13,132
117,rockettech,samiam,"May 13, 2007",2007,5,13,132
118,rockettech,kitakits,"May 13, 2007",2007,5,13,132
119,rockettech,dankster,"May 13, 2007",2007,5,13,132
120,rockettech,superpass,"May 13, 2007",2007,5,13,132
121,rockettech,greygabe,"May 14, 2007",2007,5,14,133
122,rockettech,icarus75,"May 14, 2007",2007,5,14,133
123,rockettech,icarus75,"May 14, 2007",2007,5,14,133
124,rockettech,jmxz,"May 25, 2007",2007,5,25,144
125,rockettech,jmxz,"May 25, 2007",2007,5,25,144
126,rockettech,m.j,"May 26, 2007",2007,5,26,145
127,itsdrew,ootleman,"Feb 24, 2007",2007,2,24,54
128,itsdrew,googideas,"Feb 24, 2007",2007,2,24,54
129,itsdrew,john_saddington,"Feb 24, 2007",2007,2,24,54
130,itsdrew,robinjfisher,"Feb 24, 2007",2007,2,24,54
131,Egyas,ootleman,"Feb 23, 2011",2011,2,23,1514
132,Egyas,zbrad,"Feb 23, 2011",2011,2,23,1514
133,Egyas,scottys,"Feb 23, 2011",2011,2,23,1514
134,Egyas,scottys,"Feb 23, 2011",2011,2,23,1514
135,Egyas,Gordyb,"Feb 23, 2011",2011,2,23,1514
136,Egyas,Jonathan77,"Feb 23, 2011",2011,2,23,1514
137,Egyas,blong48,"Feb 23, 2011",2011,2,23,1514
138,Egyas,Neubeehunhun,"Feb 23, 2011",2011,2,23,1514
139,Egyas,SKisaGooner,"Feb 23, 2011",2011,2,23,1514
140,Egyas,toebreaker11,"Feb 23, 2011",2011,2,23,1514
141,Egyas,nigel_budd,"Feb 23, 2011",2011,2,23,1514
142,idiot101,solostian,"Feb 13, 2012",2012,2,13,1869
143,idiot101,badblood,"Aug 3, 2011",2011,8,3,1675
144,idiot101,ixproval,"Sep 3, 2011",2011,9,3,1706
145,idiot101,Stylish_Thunder,"Aug 9, 2011",2011,8,9,1681
146,idiot101,senthil27ece,"Aug 3, 2011",2011,8,3,1675
147,idiot101,winoffice,"Aug 2, 2011",2011,8,2,1674
148,idiot101,natakuc4,"Aug 23, 2011",2011,8,23,1695
149,idiot101,RocketPenguin,"Feb 13, 2012",2012,2,13,1869
150,idiot101,Joybell3,"Oct 30, 2011",2011,10,30,1763
151,idiot101,RockSt&#9734;r-Rick K,"Feb 13, 2012",2012,2,13,1869
152,idiot101,Pistorius,"Jan 28, 2012",2012,1,28,1853
153,idiot101,ranavikramsingh365365365,"Jan 28, 2012",2012,1,28,1853
154,idiot101,Alaskanman,"Jan 28, 2012",2012,1,28,1853
155,idiot101,Dimitrios,"Jan 28, 2012",2012,1,28,1853
156,idiot101,mfturkay,"Jan 28, 2012",2012,1,28,1853
157,idiot101,5150Joker,"Jan 28, 2012",2012,1,28,1853
158,idiot101,charlottexcd,"Apr 28, 2012",2012,4,28,1944
159,StigtriX,jervis961,"Dec 17, 2012",2012,12,17,2177
160,StigtriX,jervis961,"Dec 17, 2012",2012,12,17,2177
161,StigtriX,lsk2141a,"Aug 20, 2012",2012,8,20,2058
162,StigtriX,lsk2141a,"Aug 20, 2012",2012,8,20,2058
163,StigtriX,Knottz,"Dec 13, 2012",2012,12,13,2173
164,StigtriX,jayateja,"Jan 6, 2013",2013,1,6,2197
165,StigtriX,Moshiur,"Jan 6, 2013",2013,1,6,2197
166,StigtriX,mjapple,"Jun 3, 2013",2013,6,3,2345
167,StigtriX,alienwolf,"Jul 18, 2013",2013,7,18,2390
168,StigtriX,LANMANTA,"Sep 4, 2013",2013,9,4,2438
169,StigtriX,creationsh,"Jun 24, 2015",2015,6,24,3096
170,StigtriX,BBMD,"Jun 24, 2015",2015,6,24,3096
171,StigtriX,veejdeej,"Jun 24, 2015",2015,6,24,3096
172,StigtriX,3creg3,"Jun 24, 2015",2015,6,24,3096
173,StigtriX,john.straughan@wchcd.org,"Jun 24, 2015",2015,6,24,3096
174,StigtriX,danwat1234,"Jun 24, 2015",2015,6,24,3096
175,StigtriX,RockSt&#9734;r-Rick K,"Aug 4, 2015",2015,8,4,3137
176,PepterParker666,logi,"Feb 26, 2011",2011,2,26,1517
177,PepterParker666,pchris,"Feb 26, 2011",2011,2,26,1517
178,PepterParker666,robinjfisher,"Mar 9, 2011",2011,3,9,1528
179,PepterParker666,rarmasu,"Feb 26, 2011",2011,2,26,1517
180,PepterParker666,jervis961,"Feb 26, 2011",2011,2,26,1517
181,PepterParker666,christopher25,"Feb 28, 2011",2011,2,28,1519
182,PepterParker666,bowhunter100,"Feb 26, 2011",2011,2,26,1517
183,PepterParker666,voiceartistusa,"Feb 26, 2011",2011,2,26,1517
184,PepterParker666,blong48,"Feb 26, 2011",2011,2,26,1517
185,PepterParker666,aligfmm,"Feb 26, 2011",2011,2,26,1517
186,PepterParker666,dmurph10,"Feb 26, 2011",2011,2,26,1517
187,PepterParker666,vkpai,"Feb 26, 2011",2011,2,26,1517
188,PepterParker666,cjhsteenkamp,"Feb 26, 2011",2011,2,26,1517
189,PepterParker666,kishan,"Feb 27, 2011",2011,2,27,1518
190,PepterParker666,TXM,"Feb 27, 2011",2011,2,27,1518
191,PepterParker666,mfisher,"Mar 9, 2011",2011,3,9,1528
192,PepterParker666,mbtmusy,"Mar 9, 2011",2011,3,9,1528
193,PepterParker666,wacNTN,"Mar 9, 2011",2011,3,9,1528
194,PepterParker666,starlet.2000,"Mar 12, 2011",2011,3,12,1531
195,falbert,drew08867,"May 22, 2008",2008,5,22,507
196,pdonket,agreer,"Dec 2, 2007",2007,12,2,335
197,pdonket,klaymen,"Apr 18, 2008",2008,4,18,473
198,pdonket,mirek,"Mar 3, 2007",2007,3,3,61
199,pdonket,jman888,"Mar 3, 2007",2007,3,3,61
200,pdonket,thetavern,"Mar 8, 2007",2007,3,8,66
201,pdonket,twidale,"Mar 8, 2007",2007,3,8,66
202,pdonket,echostatic,"Mar 8, 2007",2007,3,8,66
203,pdonket,innocent12,"Mar 8, 2007",2007,3,8,66
204,pdonket,philrobeson,"Mar 8, 2007",2007,3,8,66
205,pdonket,dell_admin1,"May 3, 2007",2007,5,3,122
206,pdonket,dell_admin1,"May 3, 2007",2007,5,3,122
207,pdonket,dell_admin1,"May 23, 2007",2007,5,23,142
208,pdonket,jmxz,"May 23, 2007",2007,5,23,142
209,pdonket,ipaw,"Aug 4, 2007",2007,8,4,215
210,pdonket,jervis961,"Jan 31, 2008",2008,1,31,395
211,pdonket,badblood,"Jan 31, 2008",2008,1,31,395
212,pdonket,realskript,"Sep 9, 2007",2007,9,9,251
213,pdonket,tekhawk,"Sep 9, 2007",2007,9,9,251
214,pdonket,millhauz,"Oct 9, 2007",2007,10,9,281
215,pdonket,yardsale,"Apr 18, 2008",2008,4,18,473
216,carlobaluta,ootleman,"Feb 20, 2007",2007,2,20,50
217,carlobaluta,dhart,"Feb 20, 2007",2007,2,20,50
218,carlobaluta,dhart,"Feb 26, 2007",2007,2,26,56
219,carlobaluta,grosguillaume,"Feb 20, 2007",2007,2,20,50
220,carlobaluta,neogamerdrew,"Feb 20, 2007",2007,2,20,50
221,carlobaluta,icicle,"Feb 20, 2007",2007,2,20,50
222,carlobaluta,lenny,"Feb 20, 2007",2007,2,20,50
223,carlobaluta,metoc,"Apr 11, 2007",2007,4,11,100
224,vineets001,ntaylor0909,"Jun 16, 2009",2009,6,16,897
225,vineets001,doomlord52,"Dec 1, 2008",2008,12,1,700
226,vineets001,grosguillaume,"Dec 1, 2008",2008,12,1,700
227,vineets001,jthurst,"Dec 1, 2008",2008,12,1,700
228,vineets001,yesmathew,"Dec 1, 2008",2008,12,1,700
229,vineets001,s3indiana,"Apr 12, 2008",2008,4,12,467
230,vineets001,jonsmirl,"Apr 12, 2008",2008,4,12,467
231,vineets001,francoisp,"Sep 24, 2007",2007,9,24,266
232,vineets001,krasmussen,"Sep 24, 2007",2007,9,24,266
233,vineets001,silencer,"Jun 16, 2009",2009,6,16,897
234,vineets001,dpic,"Apr 16, 2008",2008,4,16,471
235,vineets001,lengau,"Apr 16, 2008",2008,4,16,471
236,vineets001,phubert,"Apr 12, 2008",2008,4,12,467
237,vineets001,datawolf,"Dec 1, 2008",2008,12,1,700
238,vineets001,ubon,"Dec 1, 2008",2008,12,1,700
239,vineets001,mencargo,"Dec 1, 2008",2008,12,1,700
240,vineets001,eevargas,"May 18, 2009",2009,5,18,868
241,vineets001,appletsauce,"Mar 24, 2009",2009,3,24,813
242,vineets001,earlra,"Mar 23, 2009",2009,3,23,812
243,vineets001,shannon_vanwagner,"May 18, 2009",2009,5,18,868
244,bobetsue,kman79,"Apr 20, 2007",2007,4,20,109
245,bobetsue,ssrangar,"Apr 20, 2007",2007,4,20,109
246,chunt,rmartin,"Feb 20, 2007",2007,2,20,50
247,chunt,john_saddington,"Feb 21, 2007",2007,2,21,51
248,chunt,mdomansky,"Feb 20, 2007",2007,2,20,50
249,chunt,mdomansky,"Feb 20, 2007",2007,2,20,50
250,phubert,gugabombonzinho2010,"Nov 4, 2010",2010,11,4,1403
251,phubert,KentS,"Nov 4, 2010",2010,11,4,1403
252,phubert,naveedahmed,"Nov 8, 2010",2010,11,8,1407
253,phubert,Virot669,"Nov 8, 2010",2010,11,8,1407
254,phubert,Oisin,"Nov 8, 2010",2010,11,8,1407
255,phubert,fvking,"Nov 8, 2010",2010,11,8,1407
256,phubert,talatali,"Nov 8, 2010",2010,11,8,1407
257,phubert,talatali,"Nov 8, 2010",2010,11,8,1407
258,phubert,sanguin2,"Nov 8, 2010",2010,11,8,1407
259,phubert,tipoo,"Nov 8, 2010",2010,11,8,1407
260,phubert,Vinegar,"Nov 8, 2010",2010,11,8,1407
261,phubert,Rebel333,"Nov 12, 2010",2010,11,12,1411
262,phubert,Rchris,"Nov 12, 2010",2010,11,12,1411
263,phubert,Cha,"Nov 14, 2010",2010,11,14,1413
264,phubert,gmat,"Nov 20, 2010",2010,11,20,1419
265,phubert,chentong,"Nov 20, 2010",2010,11,20,1419
266,phubert,mikeytward,"Nov 21, 2010",2010,11,21,1420
267,pavlo,ootleman,"May 12, 2007",2007,5,12,131
268,pavlo,pchris,"May 12, 2007",2007,5,12,131
269,pavlo,robinjfisher,"May 12, 2007",2007,5,12,131
270,pavlo,john_saddington,"May 12, 2007",2007,5,12,131
271,pavlo,samari7,"May 12, 2007",2007,5,12,131
272,pavlo,winoffice,"May 12, 2007",2007,5,12,131
273,tekhawk,ootleman,"May 13, 2008",2008,5,13,498
274,tekhawk,spm,"Apr 2, 2009",2009,4,2,822
275,tekhawk,finkisadink,"May 13, 2008",2008,5,13,498
276,tekhawk,dabrace1984,"May 24, 2008",2008,5,24,509
277,tekhawk,siger,"May 24, 2008",2008,5,24,509
278,tekhawk,djtansey,"May 24, 2008",2008,5,24,509
279,tekhawk,drewness,"May 24, 2008",2008,5,24,509
280,tekhawk,aikiwolfie,"May 24, 2008",2008,5,24,509
281,tekhawk,junior,"May 24, 2008",2008,5,24,509
282,tekhawk,dpic,"Feb 19, 2009",2009,2,19,780
283,tekhawk,badblood,"Mar 24, 2009",2009,3,24,813
284,tekhawk,eevargas,"Apr 2, 2009",2009,4,2,822
285,tekhawk,CrazyDesi,"Feb 19, 2009",2009,2,19,780
286,tekhawk,nerach,"Apr 2, 2009",2009,4,2,822
287,tekhawk,appletsauce,"Feb 19, 2009",2009,2,19,780
288,tekhawk,shannon_vanwagner,"Feb 19, 2009",2009,2,19,780
289,tekhawk,earlra,"Mar 24, 2009",2009,3,24,813
290,tekhawk,nicopoon,"Mar 24, 2009",2009,3,24,813
291,tekhawk,jkross,"Apr 2, 2009",2009,4,2,822
292,maguu,terrymain,"Dec 3, 2007",2007,12,3,336
293,maguu,logi,"Dec 3, 2007",2007,12,3,336
294,maguu,googideas,"Dec 30, 2007",2007,12,30,363
295,maguu,bobetsue,"Apr 16, 2008",2008,4,16,471
296,maguu,madgenius,"Jun 9, 2008",2008,6,9,525
297,maguu,klaymen,"Apr 16, 2008",2008,4,16,471
298,maguu,joffe100,"Dec 3, 2007",2007,12,3,336
299,maguu,badblood,"Apr 16, 2008",2008,4,16,471
300,maguu,tonyb2006,"Dec 3, 2007",2007,12,3,336
301,maguu,benjesuit,"Dec 3, 2007",2007,12,3,336
302,maguu,phubert,"Dec 3, 2007",2007,12,3,336
303,maguu,avnanda,"Dec 3, 2007",2007,12,3,336
304,maguu,fezdell,"Dec 3, 2007",2007,12,3,336
305,maguu,fezdell,"Dec 3, 2007",2007,12,3,336
306,maguu,nsenman,"Dec 3, 2007",2007,12,3,336
307,maguu,yardsale,"Apr 16, 2008",2008,4,16,471
308,maguu,croftki,"Apr 16, 2008",2008,4,16,471
309,maguu,jaws4096,"Jun 9, 2008",2008,6,9,525
310,klaymen,mwmtjm,"Feb 24, 2007",2007,2,24,54
311,klaymen,terrymain,"Feb 24, 2007",2007,2,24,54
312,klaymen,logi,"Feb 24, 2007",2007,2,24,54
313,klaymen,ootleman,"Feb 24, 2007",2007,2,24,54
314,klaymen,gordonbrown77,"Mar 29, 2007",2007,3,29,87
315,klaymen,dhart,"Feb 24, 2007",2007,2,24,54
316,klaymen,henrieb,"Feb 24, 2007",2007,2,24,54
317,klaymen,pawprintz,"Feb 24, 2007",2007,2,24,54
318,klaymen,javaprog07,"May 7, 2007",2007,5,7,126
319,klaymen,pchris,"Feb 24, 2007",2007,2,24,54
320,klaymen,googideas,"Mar 29, 2007",2007,3,29,87
321,klaymen,agreer,"Feb 24, 2007",2007,2,24,54
322,klaymen,cnmopt,"May 7, 2007",2007,5,7,126
323,klaymen,robinjfisher,"Feb 24, 2007",2007,2,24,54
324,klaymen,chiuchu,"Feb 24, 2007",2007,2,24,54
325,klaymen,maruser,"Feb 24, 2007",2007,2,24,54
326,klaymen,benasselstine,"Feb 24, 2007",2007,2,24,54
327,klaymen,dell_admin1,"May 7, 2007",2007,5,7,126
328,klaymen,ergo,"May 7, 2007",2007,5,7,126
329,masterr,jfelisky,"Jun 5, 2007",2007,6,5,155
330,masterr,klaymen,"Apr 6, 2008",2008,4,6,461
331,masterr,shadow_mil,"Jun 5, 2007",2007,6,5,155
332,masterr,raymako,"Jun 5, 2007",2007,6,5,155
333,masterr,ergo,"Jun 5, 2007",2007,6,5,155
334,masterr,cement_head,"Jun 5, 2007",2007,6,5,155
335,masterr,dutchfish,"Jun 5, 2007",2007,6,5,155
336,masterr,homerhomer,"Jun 5, 2007",2007,6,5,155
337,masterr,mhagle,"Jun 5, 2007",2007,6,5,155
338,masterr,lucianotolfo,"Jun 5, 2007",2007,6,5,155
339,masterr,sethdixie,"Jun 5, 2007",2007,6,5,155
340,masterr,jmxz,"Jun 5, 2007",2007,6,5,155
341,masterr,rajeevbhatta,"Apr 6, 2008",2008,4,6,461
342,masterr,jervis961,"Apr 6, 2008",2008,4,6,461
343,masterr,badblood,"Apr 6, 2008",2008,4,6,461
344,masterr,vineets001,"Apr 6, 2008",2008,4,6,461
345,masterr,yardsale,"Apr 6, 2008",2008,4,6,461
346,masterr,dpic,"Apr 6, 2008",2008,4,6,461
347,masterr,croftki,"Apr 6, 2008",2008,4,6,461
348,dki,shrewduser,"May 26, 2008",2008,5,26,511
349,dki,fra9000,"May 26, 2008",2008,5,26,511
350,dki,alan8373,"May 26, 2008",2008,5,26,511
351,dki,ptcase,"May 26, 2008",2008,5,26,511
352,dki,mistern,"May 26, 2008",2008,5,26,511
353,dki,macmoh,"May 26, 2008",2008,5,26,511
354,dki,safaci2000,"May 26, 2008",2008,5,26,511
355,dki,kevintrooper,"May 26, 2008",2008,5,26,511
356,dki,markvs624,"May 26, 2008",2008,5,26,511
357,dki,tekhawk,"May 26, 2008",2008,5,26,511
358,dki,warp10,"May 26, 2008",2008,5,26,511
359,dki,jorge,"May 26, 2008",2008,5,26,511
360,dki,daniel117,"May 26, 2008",2008,5,26,511
361,dki,yesmathew,"May 26, 2008",2008,5,26,511
362,dki,badblood,"May 26, 2008",2008,5,26,511
363,dki,dwood,"May 26, 2008",2008,5,26,511
364,dki,phubert,"May 26, 2008",2008,5,26,511
365,dki,twright,"May 26, 2008",2008,5,26,511
366,dki,arthomps,"May 26, 2008",2008,5,26,511
367,dki,phubert,"May 26, 2008",2008,5,26,511
368,jdelidc,jervis961,"Jan 30, 2010",2010,1,30,1125
369,jdelidc,cestuila,"Jan 30, 2010",2010,1,30,1125
370,jdelidc,junto,"Jan 30, 2010",2010,1,30,1125
371,jdelidc,bmlbear,"Jan 31, 2010",2010,1,31,1126
372,jdelidc,wallyhorse,"Feb 2, 2010",2010,2,2,1128
373,jdelidc,Jim10305,"Feb 2, 2010",2010,2,2,1128
374,jdelidc,philly9999,"Feb 2, 2010",2010,2,2,1128
375,jdelidc,thebrok2,"Feb 4, 2010",2010,2,4,1130
376,jdelidc,bandhriot,"Feb 4, 2010",2010,2,4,1130
377,jdelidc,DougM,"Feb 15, 2010",2010,2,15,1141
378,jdelidc,BrettN,"Feb 15, 2010",2010,2,15,1141
379,jdelidc,pandaemmyboo,"Feb 17, 2010",2010,2,17,1143
380,jdelidc,PhD05,"Feb 17, 2010",2010,2,17,1143
381,jdelidc,cnovak,"Feb 23, 2010",2010,2,23,1149
382,jdelidc,kabotte,"Mar 5, 2010",2010,3,5,1159
383,jdelidc,sadeshdevaki,"Mar 5, 2010",2010,3,5,1159
384,jdelidc,edoovel,"Mar 5, 2010",2010,3,5,1159
385,jdelidc,A..J..,"Mar 5, 2010",2010,3,5,1159
386,jdelidc,jpmazur,"Mar 5, 2010",2010,3,5,1159
387,realskript,robinjfisher,"Feb 21, 2008",2008,2,21,416
388,realskript,jeffcityjon,"Apr 4, 2008",2008,4,4,459
389,realskript,stargatefan,"Apr 4, 2008",2008,4,4,459
390,realskript,class2008,"Apr 4, 2008",2008,4,4,459
391,realskript,nyyankees625,"Apr 4, 2008",2008,4,4,459
392,realskript,impulse,"Apr 4, 2008",2008,4,4,459
393,realskript,jmxz,"Apr 4, 2008",2008,4,4,459
394,realskript,winoffice,"Apr 4, 2008",2008,4,4,459
395,realskript,tekhawk,"Feb 21, 2008",2008,2,21,416
396,realskript,jonsmirl,"Feb 21, 2008",2008,2,21,416
397,realskript,jefisher,"Jan 23, 2008",2008,1,23,387
398,realskript,markj2k,"Apr 4, 2008",2008,4,4,459
399,realskript,cjbarth,"Apr 4, 2008",2008,4,4,459
400,realskript,dpic,"Feb 21, 2008",2008,2,21,416
401,realskript,croftki,"Mar 26, 2008",2008,3,26,450
402,realskript,hbruun,"Apr 4, 2008",2008,4,4,459
403,realskript,q0987,"Mar 26, 2008",2008,3,26,450
404,realskript,winoffice,"Apr 4, 2008",2008,4,4,459
405,realskript,stewie,"Apr 4, 2008",2008,4,4,459
406,realskript,boaty,"Apr 4, 2008",2008,4,4,459
407,jmxz,fjordan,"Feb 5, 2009",2009,2,5,766
408,jmxz,zerothis,"Feb 7, 2009",2009,2,7,768
409,jmxz,appletsauce,"Feb 7, 2009",2009,2,7,768
410,jmxz,Phelios,"Feb 9, 2009",2009,2,9,770
411,jmxz,jlnogo87,"Feb 9, 2009",2009,2,9,770
412,jmxz,undoit,"Feb 11, 2009",2009,2,11,772
413,jmxz,brett_alton,"Feb 11, 2009",2009,2,11,772
414,jmxz,tekhawk,"Feb 11, 2009",2009,2,11,772
415,jmxz,CrazyClone,"Feb 11, 2009",2009,2,11,772
416,jmxz,winoffice,"Feb 13, 2009",2009,2,13,774
417,jmxz,noxo,"Feb 13, 2009",2009,2,13,774
418,jmxz,CrazyClone,"Feb 13, 2009",2009,2,13,774
